rt5070	mo16635
mo16737	hu10080
rt13217	hu17807
mo17153	hu5562
rt13506	mo14073
mo8111	hu13621
mo10969	hu5406
mo13144	hu17653
mo16978	hu10696
mo10765	hu11415
mo14848	hu18027
rt13554	hu14799
mo9384	hu9173
mo7346	hu11391
mo3934	hu12167
mo13161	hu207
mo12740	hu15380
mo15224	hu17994
rt14249	mo11680
mo15624	hu15996
rt15399	mo9572
rt10570	mo15796
mo15864	hu1343
hu7808	mo14221	rt12556
rt13878	mo14968
rt4675	mo5082
mo11376	hu15195
rt3288	hu17684
mo12582	hu11094
rt6006	hu14219	mo17141
mo10232	hu18032
rt13037	mo14051
rt15108	mo16035
rt7839	mo15781
rt14829	mo13486
hu5958	rt6917
mo15757	hu12719
mo9328	hu13254
rt13014	mo9291
mo5987	hu15277
mo17466	hu17521
rt5087	hu9773	mo2663
mo11111	hu9748
hu9375	mo4708	rt6930
rt13978	hu12734	mo11835
mo14393	hu10837
mo2307	hu2578
mo812	hu8318
mo15462	hu17180
mo7722	hu5058
mo6288	hu6703
rt15272	hu17922
rt13873	hu17464	mo13661
rt546	hu3631	mo3822
mo13499	hu16696
mo14900	hu9764
rt14682	hu4500
mo5322	hu9836
hu17796	mo2196
mo16863	hu15982
rt8840	hu18008
rt7341	mo12731
mo16177	hu15111
rt13026	hu9504	mo10240
mo1883	hu2215
rt12462	mo1338
hu17202	mo16180
mo13816	hu14628	rt8519
mo14674	hu12633
mo3379	hu7539
mo13786	hu17514
mo15285	hu13976
rt531	hu13111	mo10892
mo16617	hu13349
hu8969	mo12229	rt7061
mo15250	hu15067
mo10441	hu10021
rt12801	hu12245	mo10189
rt5208	mo11193
mo9854	hu6389
mo8240	hu13346
rt15182	mo13890
rt14617	mo16454
mo8422	hu14749
rt9698	hu4758
mo4665	hu5504
rt1147	mo9491
mo15148	hu14289
rt5306	mo13544
mo16132	hu13759
mo12680	hu9885
rt13785	mo16947
mo16366	hu15878
rt14959	mo14611
rt11009	mo11728
rt1445	hu1849	mo3341
mo15717	hu17958
mo3203	hu16903
mo3233	hu2264	rt2021
mo15901	hu17435
mo17433	hu9088
mo15473	hu12866
mo7804	hu2283
mo15508	hu15633
mo12606	hu15969
mo14040	hu17546
rt3467	hu11705	mo13659
rt15727	mo17492
mo16148	hu8792
hu17788	mo6719	rt12966
mo6532	hu4198
mo2439	hu1005
mo15752	hu8915
rt14857	mo13461
