rt14998	hu17377
hu8937	mo11754
hu12171	mo5772
hu6958	mo15547
hu16696	mo13499
rt14147	mo15951
rt14028	mo14878
hu1859	mo12890
hu11236	mo2969
hu3995	mo11849
hu12259	mo15346
rt14619	mo9146
hu9764	mo14900
hu12555	mo11398
rt12437	hu884
hu2171	mo14940
hu7028	mo7494
hu5535	mo6043
hu8172	mo10442
hu10455	mo4366
hu1233	mo16503
hu13213	mo13592
mo1975	rt1713	hu4781
hu17070	mo15348
hu17814	mo5310
rt4667	mo17454
hu12679	mo13087
hu11143	mo14650
rt13952	mo16727
rt15498	mo15656
hu16652	rt966	mo2222
hu3265	mo6629
hu10190	mo10117
hu11873	mo13273
hu1225	mo13400
hu17962	mo15224
hu5391	mo3752
hu17638	mo16399
hu2710	mo16879
hu14009	mo3359
hu11157	mo13243
rt1488	hu530
mo6645	rt6019	hu9678
rt11554	hu15520
rt15395	hu16864
hu7813	mo14340
rt2383	hu13084
rt14893	mo16160
rt13540	mo15240
hu15821	mo13977
hu225	mo2139
hu13027	rt3625	mo8962
hu13258	mo6037
rt9103	hu12370
hu12613	mo902
rt10070	mo17226
hu15347	mo12900
hu6897	mo2153
mo10291	rt15313	hu14562
rt13924	mo15006
hu7703	mo2459
rt11004	hu14124	mo7384
hu11902	mo8349
hu12068	mo15813
hu14809	mo13954
rt13586	mo15603
hu7675	mo14704
mo9583	rt7575	hu2324
rt13096	mo10655
rt14427	mo12140
hu17950	rt14022	mo16465
hu978	mo13402
hu15402	mo16839
rt13772	mo16823
rt13895	mo9543
rt6856	hu8196	mo11556
rt12624	hu12262
rt3232	hu9462	mo9217
rt3096	hu2943	mo1370
hu8944	mo13342
hu15687	mo16593
hu1137	mo151
hu2288	mo3459
mo16596	rt13844	hu14850
hu5447	mo9164
hu4269	mo7359
hu9102	mo16877
hu15488	mo7807
hu15352	mo16948
hu14462	mo13321
hu8401	mo11981
hu439	mo5312
mo14212	rt9634	hu14660
hu532	mo2805
hu4479	mo7955
hu3724	rt11385	mo16837
hu15487	mo15568
hu13613	mo8387
hu10671	mo2891
hu15335	mo9436
hu15969	mo12606
hu10827	mo14996
rt4688	hu8035	mo3298
rt13014	mo9291
mo1832	rt13730	hu17423
hu12710	mo16617
hu9910	rt5517	mo1758
hu17469	mo15666
mo1627	rt8514	hu9029
hu9123	mo9632
rt15269	mo15457
hu10136	rt8227	mo2154
hu13183	rt13552
hu11655	rt13624	mo10926
hu7016	rt9387	mo12504
hu2825	rt7607	mo7904
mo14154	hu4813
rt3519	hu13086	mo1535
rt12600	mo16523
hu16826	mo14227
rt15281	mo15753
hu4789	mo8737
rt9323	hu1184	mo8856
rt7839	mo15781
rt14782	hu15492
hu3583	mo11313
mo5151	rt4107	hu1615
mo1583	rt2933	hu8563
rt5070	mo16635
rt13037	mo14051
hu5367	mo15486
mo1866	rt4462	hu6412
rt14040	mo15130
rt12756	hu7283	mo14365
hu5406	mo10969
hu11518	mo14863
hu10961	mo10796
hu3519	mo12296
mo14698	rt12643	hu12046
hu8610	mo3203
mo5330	rt401	hu2855
rt15491	mo5490
rt7384	mo9297
hu9706	rt3524	mo5324
rt14785	mo16158
hu14108	mo11954
hu5428	rt11967	mo13807
rt15349	mo16002
hu2386	mo3725
hu14958	rt8567	mo15579
mo15846	rt13220	hu1489
mo12985	rt6008	hu13406
hu15356	mo15501
hu2283	mo7804
rt13677	hu15763
hu10990	mo16864
mo9151	rt8674	hu5692
rt8405	mo7529
hu6846	mo8448
mo7744	rt10133	hu12511
mo8500	hu6786	rt3715
hu335	rt3785	mo4528
hu15602	mo16689
rt14636	hu6526	mo6910
hu8235	mo10726
hu1621	mo12974
hu16639	mo13185
hu15055	mo14915
hu17679	mo9989
hu977	mo5885
mo13940	rt2895	hu4159
mo1875	rt1906	hu10090
hu16985	mo6558
rt22	hu4368	mo2266
mo3308	rt1753	hu5727
rt15523	mo16994
hu7904	rt12883	mo9718
hu17931	mo17020
hu5172	mo4139
hu14114	mo16086
mo16013	rt14624	hu16149
