interactor_A	interactor_B
P22953	Q9SUT5
Q9SUT5	O65719
P22954	Q9SUT5
Q9LHA8	Q9SUT5
Q9SUT5	P22953
P22953	Q9SUR9
Q9SUT5	P22953
P27323	Q9SE33
Q9SUT5	Q9SE33
Q9SUT5	P27323
O64471	Q9LHE5
Q9LHE5	F4KCL7
Q9LHE5	P82805
Q9LHE5	O64471
P82805	Q9LHE5
F4KCL7	Q9LHE5
P82873	Q9LHE5
P82874	Q9LHE5
F4KCL7	P42770
Q9SPU7	Q56Y52
Q56Y52	Q94CG0
Q56Y52	Q94K58
Q66GP0	Q56Y52
Q56Y52	Q66GP0
Q9SPU7	Q56Y52
Q56Y52	Q94CG0
Q94K58	Q56Y52
Q9SPU7	Q56Y52
Q56Y52	Q9SPU7
Q941L2	Q941L3
Q58FX0	Q941L3
Q5S1W2	Q58FX0
Q5XQC7	Q58FX0
Q5S1W2	Q941L2
Q941L2	Q5XQC7
Q9ZNT0	Q9CB01
P31582	Q9ZNT0
Q9SN68	Q9ZNT0
Q9CB01	Q9ZNT0
Q9SN68	Q9ZNT0
Q9ZNT0	P31582
Q9ZNT0	Q9SZ15
Q9SZ15	Q9ZNT0
Q9LX49	P18064
Q05609	P49333
Q9LX49	P18064
Q9LX49	P18064
Q38846	Q05609
P49333	Q05609
P49333	Q05609
P49333	Q05609
Q05609	Q38846
Q05609	P49333
Q05609	O22267
Q9LVG4	Q9LKL2
Q9LVG4	Q9LKL2
Q9LKL2	Q9LVG4
Q9LKL2	Q94BT6
Q42374	O04486
Q42374	Q8L7G0
P42697	Q42374
Q8GUP1	A9LNK9
Q84LH8	Q9FE22
Q8W2F3	Q9FE22
Q8W2F3	Q9FE22
Q84LH8	Q9FE22
Q9FE22	Q84LH8
O23212	F4JCU0
O23212	F4JCU0
Q2MHE4	O49660
Q94CE4	O49660
Q2MHE4	Q940H6
Q94CE4	O49660
Q2MHE4	O49660
Q940H6	Q2MHE4
Q940H6	Q9LD83
Q6NKS4	Q9SYX1
Q9SYX1	Q9SYX1
Q6NKS4	Q6NKS4
Q9SYX1	Q9SYX1
Q6NKS4	Q6NKS4
Q6NKS4	Q9SYX1
Q9SYX1	Q6NKS4
Q6NKS4	Q6NKS4
Q9SYT0	Q8RWH3
Q9XEE2	Q8RWH3
Q8RWH3	Q8RWH3
Q9ZUU4	Q8RWH3
Q9ZVJ6	Q8RWH3
Q94JZ8	P54609
Q94JZ8	P54609
Q94JZ8	P54609
Q9SJM3	Q9C660
Q9LFA2	Q9FFW5
Q9SX31	Q9LFA2
Q9C660	Q9LFA2
Q9CAL8	Q9LFA2
Q9SJM3	Q9FFW5
Q9SJM3	Q9SX31
Q9SJM3	Q9C660
Q9SJM3	Q9CAL8
Q9LFA2	Q9FHN8
Q9SJM3	Q9FHN8
Q8VYU8	Q940B8
Q8VYU8	Q940B8
Q8VYU8	Q940B8
Q9FHN8	F4IIU4
Q9FHN8	F4IIU4
Q9FHN8	F4IIU4
Q9FHN8	F4IIU4
Q9FHN8	F4IIU4
Q9FHN8	F4IIU4
Q84MC9	Q8VZW1
Q84MC9	F4JN35
Q84MC9	Q94F58
Q9FZK5	Q84MC9
Q84MD1	Q949M9
Q84MD6	Q17TI5
Q84ME1	P35131
Q84ME1	Q67ZB3
Q9FWT2	Q84ME1
Q84ME1	Q9LHG1
Q84R27	Q9FTA2
Q8VWK4	Q84TD4
Q84TD8	Q84MB2
Q8L7G9	Q84TD8
Q84TD8	Q8L7T4
Q84TD8	Q9FGF3
Q84TD8	Q9FYE4
Q84TD8	Q9LKL2
Q9LVI4	Q84TD8
Q84TD8	Q9SK03
Q84TD8	Q9SN78
Q84TE7	Q94F58
Q84TE8	Q9XHZ3
Q84TF1	O64903
O22241	Q84TF2
Q6X7J4	Q84TF2
Q84TF2	Q9LII8
Q84TF2	Q8L611
Q8L7G9	Q84TF2
Q8RXD6	Q84TF2
Q84TF2	O81851
Q84TF2	Q96319
Q96331	Q84TF2
Q84TF2	Q9FNJ8
Q84TF2	Q9LU63
Q84TF2	Q9M2U8
Q9SQX9	Q84TF2
Q8LAZ7	Q84TF7
Q84TF7	Q8LGC6
Q94JX9	Q84TF7
Q84TF7	Q9LHG9
Q9SZY1	Q84TF7
Q84TG3	Q96331
Q8GUN2	Q84TI6
Q84TI6	Q9LT89
Q84TK3	Q8LAZ7
O23188	Q84VW0
Q9FJF5	Q84VW0
Q84VX3	Q84MB2
Q8GYX3	Q84VX3
Q8RXD6	Q84VX3
Q8RY08	Q84VX3
Q96331	Q84VX3
Q9LHF8	Q84W01
Q96331	Q84W03
Q0WV96	Q84W04
Q84W04	Q8VZ95
Q84W04	Q8VZW1
Q84W04	Q94F58
Q9FZK5	Q84W04
Q84W04	Q9LMQ8
Q84W04	Q9LNJ7
Q84W04	Q9ZVD2
Q84W09	O65573
Q8RXD7	Q84W09
F4IK01	Q84W09
Q84W92	Q9LUV4
Q84WI4	O04326
F4JN35	Q84WI4
Q84WI4	Q9SS37
Q84WJ9	O82734
Q84WJ9	Q9M9W3
Q84VW0	Q84WK1
