interactor_A	interactor_B
P36076	P36076
P36076	P36076
Q03941	P36076
Q03941	P36076
P36024	P36076
Q08438	P36076
P53332	P40506
P53332	P40506
P53332	P36076
P53332	P36076
P53332	Q03941
P53332	Q03941
Q03941	P36076
Q03941	P36076
Q03941	P53332
Q03941	P53332
P36076	P40506
P53332	P40506
P36076	P40506
P36076	P36076
P53332	P36076
Q03941	P36076
P53332	P40506
P53332	Q03941
Q03941	P36076
Q03941	P53332
P22579	P21957
Q03941	P36076
Q12339	EBI-10821373
P43601	P53855
P43601	P53855
P43601	P53855
P38270	Q05789
P38270	Q02948
Q05789	P25641
P38270	Q12142
P38270	Q02948
P38270	Q05789
P22543	Q05789
Q05789	Q05789
Q05789	Q05789
Q05789	Q05789
EBI-10894903	EBI-10889363
EBI-10921915	EBI-10821788
EBI-10824938	EBI-10054797
EBI-10821555	EBI-10821750
P28005	EBI-2864202
P35729	P35729
Q12315	P32500
Q12315	P49686
P34077	P48837
P14907	P48837
P14907	P40368
P14907	Q05166
P14907	P48837
P14907	P40368
P49687	Q04491
P49687	P46673
P49687	P46673
P49687	Q04491
P49687	P46673
P49687	Q04491
P49687	P35729
P49687	P32500
P49687	P35729
P35729	P46673
P35729	P35729
P35729	P35729
P35729	P46673
P35729	P49687
P35729	P49687
P35729	P49687
P35729	P46673
P35729	P35729
P35729	P49687
P35729	P46673
P35729	P49687
Q02630	P47054
P49687	P35729
P49687	Q04491
P49687	P32500
P49687	P35729
P49687	P35729
P49687	Q02199
P49687	P49687
P52593	Q02629
P47054	P49687
P52593	Q02630
Q03790	P34077
Q03790	P47054
Q02199	Q05166
Q02199	P48837
Q02199	P48837
P49686	Q12315
P32499	P32835
P47054	P35729
P32499	P32835
P52891	P49687
P48837	Q02199
Q05166	P34077
Q05166	P47054
Q05166	P47054
P46673	P35729
P46673	P49687
P46673	Q02630
P46673	Q02629
P46673	Q02629
P46673	P49687
P46673	Q02629
P46673	P53011
P46673	Q02630
P46673	P35729
P52891	Q02629
P52891	P49687
P52891	P49687
P52891	P49687
P52891	P35729
P52891	P49687
P52891	P35729
P40368	Q02199
P40368	P40477
P40368	P46673
P40368	Q03790
P40368	P49687
P40368	Q02630
P40368	Q02629
EBI-11701142	Q12400
EBI-11701147	Q12400
EBI-11701142	Q12400
EBI-11701296	Q12400
EBI-11701334	Q12400
EBI-11701336	Q12400
EBI-11701147	Q12400
EBI-11701142	Q12400
