interactor_A	interactor_B
EBI-11464884	Q8TA83
Q21036	H2KYX3
H2KZV9	Q93903
Q9U2Q9	O62090
O17583	P54936
P54936	Q9TZK8
Q18100	G5EEA1
Q18100	Q19130
Q19350	P34576
Q19266	Q9NAN2
Q27874	Q19350
Q18825	Q21127
Q95XZ0	Q19955
Q22227	Q9XUQ4
Q9NES7	Q19350
Q19955	P51875
Q9U308	Q9GRY9
Q9XVI2	EBI-11465138
Q9XVI2	G5EC27
P34263	Q9XVI2
G5EC64	G5EBK3
G5ECY0	G5ECG0
Q23529	G5ED30
K8F7T2	H2KYX3
H2KZ17	G5EGG0
Q8WQC0	H2KZ17
P34288-2	P90900
Q9BKU2	Q17549
P54936	Q18624
Q17549	G5EBU5
Q19955	P51875
Q965F9	P34269
Q8MQ04	Q19955
O45734	Q9U9Y8
Q19749	Q9U9Y8
Q9U1S2	Q9U9Y8
O02115	Q967F4
Q9NAN2	P34288-2
H2L057	A5JYX3
G5ECD7	A5JYX3
A5JYX3	A5JYX3
EBI-11464884	EBI-11464884
P91820	A5JYX3
A5JYX3	P91001
P12844	A5JYX3
A5JYX3	P10986
A5JYX3	Q20203
A5JYX3	Q20010
Q18605	A5JYX3
A5JYX3	Q18605
Q9U1W2-2	A5JYX3
A5JYX3	Q9GRY9
A5JYX3	Q9GRY9
A5JYX3	Q23079
A5JYX3	Q22866
P02566	A5PEX5
G5EFB9	A5PEX5
A5JYX3	Q9XWR1
A5JYX3	Q9XUS2
C1P633	H2KYJ3
C1P633	G5EE23
Q9U1W5	A5PEX5
Q22866	A5PEX5
C1P633	Q336K9
C1P633	Q09485
C1P633	O45952
C1P633	O02088
C1P633	H2L2I2
G5EBK3	G5EBK3
G5EBK3	G5EBK3
C1P633	Q9U9K0
Q8WTJ8	C1P633
Q9NES7	G5EBK3
Q18076	G5EBK3
H2KYV3	G5EBK3
G5EBK3	G5EC64
O44411	G5ECQ2
H2L0K1	G5ECQ2
G5EE71	G5ECQ2
Q22227	G5EBL2
G5ECQ2	Q18025
Q22866	G5ECQ2
G5ECQ2	Q22703
Q22095	G5ECQ2
Q21121	G5ECQ2
G5ECY0	P91820
G5ED60	G5ECY0
G5ECQ2	Q23188
H2KZQ6	G5ED30
G5ECY0	Q9XVU8
G5ECY0	Q8WTJ8
G5ECY0	Q17732
EBI-11464884	G5ED33
Q23529	G5ED30
Q18025	G5ED30
O44782	G5ED30
Q09442	G5EE56
G5EE56	H2KYA1
H2KY76	G5EE56
H2KY90	H2KYA1
H2KYA1	A8WFL0
G5EE56	Q9U2F3
G5EE56	Q9BIF4
H2KYA1	O16299
H2KYA1	H9G2T2
H9G2T2	H2KYA1
H2KYA1	H2KYA1
H2KYA1	P90731
P90731	H2KYA1
P34707	H2KYA1
P34397	H2KYA1
Q8WT52	H2KYA1
Q8TA83	H2KYA1
Q18025	H2KYA1
P92004	H2KYA1
H2KYX3	H2KYX2
H2KYX3	G5ECD7
H2KYA1	Q9NES7
H2KYX3	Q20398
P91820	H2KYX3
O01839	H2KYX3
K8F7T2	H2KYX3
H2KZ24	H2KYX3
H2KYX3	Q95QA6-10
H2KYX3	Q22006
Q21559	H2KYX3
H2KYX3	Q21559
Q21036	H2KYX3
EBI-11464884	Q95QA6
H2KYX3	Q95PZ7
H2KYX3	Q8MQ25
H2KZ17	Q95QA6-10
H2KZ17	G5EGG0
Q95QA6-10	EBI-11464884
H2KZ17	P34574
H2KZ17	P10986
O16366	H2KZ17
H2KZ17	Q22227
H2KZ17	P91820
H2KZ17	P91453
H2KZ17	P90900
H2KZV9	Q22866
H2KZ17	Q9TYS1
Q95QT4	H2KZ17
H2KZ17	Q22866
H2KZV9	Q9GRZ1
H2KZV9	Q9GRZ0
H2KZV9	Q93903
O02088	G5EC91
G5EC91	O02088
Q23215	H2L2I2
H2L0Q6	Q18025
O02365	EBI-11464884
O02088	Q17784
O02088	H2FLG9
H2L083	O62090
O17583	Q93636
G5EBP5	O17583
Q21443	O62090
O62090	Q18076
O62090	O62090
P34288-2	EBI-11466975
EBI-11466962	P34288-2
O62090	Q22866
P34288-2	EBI-11466975
P34288-2	H2KYP0
P34288-2	G5EGG0
P34288-2	O02365
P34288-2	O01839
P34288-2	H2KYP0
P90900	P34288-2
P34367	P34288-2
P34288-2	O02365
Q19989	P34288-2
P90901-4	P34288-2
P90901-4	P34288-2
P34288-2	P90900
P54936	G5EEV6
P34288-2	Q9XVU8
P34288-2	Q9N2Z7
H2L2I2	P54936
P54936	G5EFL4
G5EFF7	P54936
P34604	P54936
P54936	O45734
P54936	O17583
P54936	Q95X94
Q22227	P54936
P54936	Q21225
Q18624	P54936
Q18529	P54936
Q9TZK8	P54936
P90900	EBI-11464884
G5EBX2	Q10666
Q10666	G5EBJ7
EBI-11464884	P91482
Q10666	Q17979
P17139	Q10666
Q10666	G5EGG0
Q10666	Q23079
Q22866	Q10666
Q10666	Q18825
Q10666	Q9TYL9
Q10666	Q95ZK7
Q95ZK7	Q10666
O16393	Q10953
Q10953	O01900
G5EG29	Q10953
G5ECD7	Q10953
Q18529	Q10953
O45734	Q10953
Q10953	Q17796
Q10953	Q20010
P34604	Q10953
Q10953	Q6BER5-3
Q10953	Q22624
Q20763	Q10953
Q10953	Q5FC73
Q8WTJ8	Q10953
Q93636	Q10953
Q95ZK7	Q10953
Q8I4M5	Q10953
Q17353-2	G5EDD5
Q10953	Q9GPA4
G5EGG0	Q17353-2
Q17353-2	K8FDX2
Q95QA6	Q17353-2
Q17353-2	O45268
Q17353-2	P34331
Q17353-2	P91820
Q17353-2	P41886
Q09248	Q17353-2
Q8ITV6	Q17353-2
Q17353-2	Q9XVW8
Q22866	Q17353-2
Q17549	A9D2X7
A9D2X7	Q17549
Q17694	Q17549
Q17549	G5EDB9
G5EBU5	Q17549
Q18100	O44820
G5EEA1	Q18100
Q17549	Q9BKU2
Q18025	Q18100
Q18100	P90925
Q18100	Q19749
Q18100	Q19130
Q6BEV5	Q18100
Q18825	B1V8A0
