Q9D1H6	Q9P032
P06343	P01911
A2NTU7	P01737
P56485	P29089	P50052
Q920G2	Q99MJ6
P18424	P16301
Q9Z2L6	Q9UNW1
Q8R322	Q53GS7
D3ZUL5	Q8R411
Q8K4V6	Q8NHL6
D3ZMX5	Q7Z3H4
Q8VHZ8	P97798	P13591
Q925U4	Q9BZQ6
Q62273	Q9BXS9
Q9QYM6	Q8N1L4
Q9D1H9	Q08830
P05412	P17325	P09450
P53563	Q99N36
Q6AXN8	Q9Z1D9	Q86W11
A2AF28	Q9H1U9
Q9DBW3	Q8N6N6
Q91X23	P19652
Q9CWY4	Q9H840
P43355	G3V7A4	Q52KG3
P49660	P14600	P49683
Q9CRC0	Q9BQB6
Q8BMZ5	Q9BSV6
Q9CPZ1	Q9NVL8
O55236	O60942
D4ADY0	Q9Z109	Q86XK7
Q6GU68	D4ABX8	O14498
Q8CIZ8	A8TX70
A0A1D5RMC2	Q14592
D4ADJ8	Q3UP23
P40226	P40225
Q9NSY0	D3ZMJ7	E9QM73
D4AA26	Q99NA2	Q92858
B7ZC55	Q9BQE5
P01869	P01860
Q6ZWU9	Q71UM5
P56389	P32320
Q8R0J1	D3DTR7
Q9QZ03	D3ZIN1	Q9NY26
F1LQ73	A0A1B0GSK9	Q6UWU2
P70206	A0A0G2JY19	O60486
G3V813	Q8R4Z4	P11308
Q4VBD9	Q9H116
Q3TCU5	Q53FW8
Q8BW15	Q5T1J5
F1M051	A2BFA9	Q9UH92
Q8N2U9	Q5M880	Q80XM9
P01746	Q68CN4
B2GUW4	Q14191
Q8VHE0	Q9UGP8
Q8R404	Q5XKP0
Q8R1F0	Q9UNZ5
Q8K4C9	Q7Z5H4
Q62395	Q07654
A2A2Y4	P31977
F6Z7L1	O15417
Q64674	P19623
Q925D4	Q9R1Q6
Q8C541	Q6GMR7
E9PX68	Q8TAD8
Q8IUZ0	D4AC95
Q8R084	O60656
Q5SSG4	Q8NHY3
Q922H2	B5DFI9	Q15120
Q9ER73	Q96EB1
Q91XZ7	Q9UN72
Q9JHN8	P49842
Q9DCW2	Q8WVK1
Q91VD8	O14917
Q06175	Q06186	Q99075
Q8BH60	A0A0G2JXG5	Q9HD26
P23463	P13378
Q9NR21	A0A0G2JTL9	Q3UPF5
Q9JII3	Q9JHK0
Q9WUZ7	P55822
Q8BJ34	Q9Y4F3
P35704	B4DF70
A0A0G2JDG8	Q8N201
Q8BH01	Q6UWJ1
R9PXX2	Q3V089
Q6GQT0	Q9UNH5
Q8CG73	Q96KN7
A0A0R4J249	Q8N6X9
Q9EP80	Q62083
A0A0R4J133	P57057
P60898	P36954
Q5M969	Q8TBE9
Q00900	Q03172
Q9NVP1	D3ZBY5	Q8K363
Q3TFD9	Q5TF58
Q9R193	Q6LEU2
Q99ML1	Q9BXH1
Q80W76	B9ZVM9
Q9Z2W1	O88506	Q9Y4K4
Q13887	O89091	Q66HP1
P47993	P47992
G3V7E0	O09113
D3ZAP6	Q3V037
F7FD47	P81269	Q03060
Q9H2A2	D3ZXY4	Q62148
D3ZTF0	A2AJA9
A2AM05	Q9NXG0
F1M702	Q3UFC6	Q14574
Q8JZV4	Q96LT9
D3ZDF5	Q9D9Y8	Q8WWF3
P99999	D3ZS15	P00015
Q9WTV5	Q3ULI3
P62880	P62882	O43172
Q3V1I0	Q86SG7
P01734	P04435
P18528	P23083
D3ZYF6	A0A1B0GUU1
Q9QZH1	Q9P225
Q6IRK9	Q9WVJ3
P70616	Q9QYE0	Q9UM63
O89026	O60469
A2A9K7	Q6P9H4
P18054	G3V6Z8	O35936
Q01196	Q63046	Q3UM65
B0BNJ4	Q9DCM0	Q8N490
P22736	Q59IV8	O08580
P09925	Q15526
Q9NUQ3	B2GV14	Q6PAM1
A0A1D5RMD1	Q9H0B3
Q9DB24	Q96EI5
O35218	G3V6W7	Q9P2I0
Q99JA0	P01258
A0A140T8R2	Q3ZAQ7
Q9H4E5	Q9ER71
Q52WX2	D4A3D9	Q8QZV4
Q8BP99	Q8TAB5
A0JPL0	Q7TSI0	Q8N883
F1LZT3	Q7TSD4
Q8K2L4	Q8N8A6
Q9BCZ3	P01903
Q04671	Q4LEV3	Q62052
Q3TNL8	Q3MIP1
Q9WVM6	B5DEH7	P48740
P62876	P62875
F1MAL5	O54718
Q8R0Z2	D3Z9Z5	Q16206
Q15642	A0A0G2K7Y5	Q8CJ53
F1M529	Q8BYZ8
Q9WUU7	Q6IN22	Q9UBR2
Q99LH9	Q91Y80	Q7L8J4
Q9R038	P11464
P56222	P21952
Q9Y6M7	A0A0G2JYF0	F8VQC9
D3ZGW9	Q99445
Q6AXS5	Q5JVS0	Q9CY58
Q9JIL8	P70388
Q5SW79	D4A1G8
Q3MHC1	Q9DBU2
Q61142	Q56A73
M0R9J6	Q9CRW3
Q9H9C1	Q5PQN6	Q8BGQ1
P97737	A2SY89	P55107
Q3SY84	A0A0G2K0I4	Q9R0H5
Q9JMD2	Q9JMD1	Q96JM7
Q9GZN1	P63259	A0A1W2P6E1
Q9D7W5	Q96G25
Q6R5P6	Q8IW36
P08758	P48036	P48037
A0A0G2JUG7	Q80YW0	Q9UIA0
Q8VCK1	Q96ES5
P05366	P0DJI8
Q812C9	Q16853
D3ZNU0	Q5SPX3	Q9Y6U7
Q68FU5	Q9CQ90
P60520	Q6XVN8	Q91VR7
Q9UBM4	A0A096MK02	P70186
F1LNR9	O55192
Q9H6S0	Q3UR42
Q6PGH2	Q9H910
G3XA31	D2IYK5
Q14940	P26434	Q8BUE1
A0A0G2JZ34	D3Z486
P62814	G3V6D3
A2AJP5	A0A0S2Z5T9
A0A0G2KAD9	Q8N112
Q15036	M0RBS9	Q3UHD6
A2AQJ6	Q8NBN3
G3V987	E9PXQ7	Q9Y5G1
Q9H1C3	Q6AYF6
Q9JI85	Q02818
B4F774	O88741
P01236	Q63545	Q9CQ58
Q8CAA7	D3Z955	Q6PCE3
P78543	M0R3X4	Q9JM55
Q9Z2Q2	Q1ED39
Q3KR98	A8K7D9
Q6AY14	B1AVK0	Q3B820
P07146	Q16651
P63014	Q06348	Q99811
G3V6L2	Q8TDX7	O35942
Q3U9F6	Q96EQ8
Q8K3D3	Q1ZZU3
Q3UB74	Q05BL0
Q8R3N6	Q96FV9
Q6B345	P08207	P31949
Q62160	Q99819
P00689	P19961
Q923V8	Q9ERR7
Q5F1R6	B1WBY5	Q5U458
Q08752	Q9D787	P24368
Q78IK2	Q96IX5
Q05D44	P46199
Q3UPL0	D3ZGZ9	Q9BQ67
P41743	P16054
A0A0H2UHB3	Q64444	P00918
Q9UJY4	Q5FVF3	Q8BMI3
Q8CIK8	Q6PCD5
Q62059	Q8NCF0
Q96PZ0	D4ABN2
Q6PDN3	Q06S79
Q91X05	Q9NP85
G3V8P1	Q91Y10	O60330
Q9WUH1	Q12893
Q86YC3	Q8BMT4	D3ZVD5
D3ZZM9	Q8QZT2
Q6B966	P13489
Q9CX30	B0BMV4	O95070
Q99LC4	A2J422
Q673H1	Q2TAM9
Q8VDD9	Q9NSI6
Q80U63	O95140
Q8CF89	A0A0U1RRU5	Q15750
Q9NXH9	A0A140UHW6	H3BKS8
P50586	D3ZWB5
Q6PCU0	Q9ERA8
Q8BQC8	P17025
A2AQA1	Q8TA94
Q99N90	Q9P0J6
F1LRC7	H3BKP8	Q5HYC2
Q9R1S0	Q9UPM9
Q7Z6K4	D3Z9S9	Q91ZA8
Q99712	P52188	P52187
P50750	Q3MJK5	Q14AX6
Q9D882	Q96D05
Q6PAJ3	Q75VX8
Q8VD63	Q6UN82	Q9H0U9
Q6P7A9	A2AQJ8
F1MA98	Q91ZA5	P12270
P02749	Q5M891	P08607
Q64368	Q9NQZ3
