Q19818	Q9VDK5
Q93654	Q9VRT8
Q9VHV1	Q04049
Q9VKZ1	P21592
O17835	P00549
G5EF97	Q9W240
P91487	Q9VM96
Q9GS00	Q9VJR9
Q09436	P47976
Q9VIX4	P13711
O16359	Q24142
Q02870	Q00578
P35122	P35127
Q9VHB1	P53311
Q9VSM9	P54784
Q95ZJ1	Q6WV20
H2L045	Q9VHC3
Q21554	Q8T9L6
Q7JRK7	Q06892
Q93442	Q7KTX8
Q9NF23	Q9NFP5
P41990	P18168
Q9U2U0	Q94535
Q9VFW7	P32454
Q9VQS6	Q03833
Q7JP60	Q9VVB4
Q9VQQ0	P40454
G5EEH5	P91664
Q21626	Q9I7P3
Q21312	Q9VJW8
Q20183	Q9VR80
Q9BHL4	Q9W1N1
O44949	Q8INR0
Q9VG79	P40051
Q9XTR0	Q9VCG8
Q9VCN1	P21951
Q10046	Q9VQZ7
Q95XG7	P10627
Q9N2U6	Q9V8I2
Q21697	Q9VXT7
Q24368	P32657
Q8MNT0	Q9VN49
Q9XUE6	P07283
Q9GSX9	Q9W358
Q27894	P02294
Q9VKT8	P34163
O16700	Q9VN04
Q8STE5	Q9VKB2
Q9U2Z0	P09085
G5ECW9	A1Z7Q5
Q9U1X4	Q9VLP3
P92160	Q29QP1
O97182	P38328
Q95PW9	Q9VA36
Q9U915	P07170
Q17345	P39008
G5EGU6	Q9VRX0
Q9W423	P38703
A5JYR4	P98081
Q9VC65	Q12425
G5EDI8	P40562
Q9VSJ0	Q12019
Q9TW65	Q9GT70
Q9VP46	Q04322
O61707	P47825
Q7YZ99	Q03375
Q9XXA2	Q9W2W2
Q9V3U9	Q05776
Q9VHN5	P36125
G5EGK5	Q9W532
Q9W484	P22516
Q24572	P39984
Q9V784	P53969
G5ECR7	O44226
P91278	Q02361
Q19464	P08510
Q9I7L7	Q12006
Q9U2M4	P10127
G4RZC8	Q9W0K0
Q9W0Y8	P50077
Q95Q15	Q9VPY4
Q9VIP1	P11747
Q9VK34	P53688
Q21266	Q9NK80
O44168	Q7JUY8
Q23623	Q9VSZ6
P90953	Q8MQV4
P35600	P49956
Q6NN85	P38148
Q10917	Q9VEY1
O45551	Q9VSB6
P25843	P07274
Q18239	P51140
Q23120	Q02427-1
Q9VHY5	Q05021
Q20062	Q9W127
O01870	A1Z9L5
Q21049	Q9W263
O96863	P38930
P34662	Q9W499
Q19965	Q9VK57
G5ECN5	Q7PLI7
Q9N3C6	P39770
Q9U2X1	Q9V3U6
Q9N2K7	Q24432
Q9VTU0	P42846
Q19467	Q9NGC3
P17487	Q9VTX7
V6CKC3	Q9VRV0
Q9VX60	P25631
Q9VIJ0	P40510
Q10039	Q06817
G5ED60	Q9VZJ3
Q8IU06	Q9W1Q6
Q9VPD2	P40558
Q9VCQ6	P32572
Q9VIM5	P53731
Q9VEE9	P16661
Q21272	P09082
P20271	Q8IR79
Q03598	Q7K1Z5
Q20741	Q7K264
Q8T6B9	Q01560
Q95PZ7	Q9V3P3
Q9U2C9	P55965
Q9VII9	P53839
Q9VM92	P38254
Q9VF02	P53115
P61866	Q9W1B9
P34465	Q9I7U1
Q9UB28	Q9VJJ9
Q22619	Q9VF27
Q8MRI4	Q12429
O45503	Q9VW58
Q9U5W9	Q12030
Q9VTL6	P34087
G5EBM6	Q9VEN3
G5ECY7	A1Z9I9
A5PEX5	Q9W486
G5ECZ8	Q9W283
Q9VIC9	P38067
P00528	P06244
Q95RB1	P38241
Q9VMQ5	P53318
A1Z898	Q04199
Q9VDD7	Q12520
P41934	P31368
Q20393	Q7JX82
P41572	P38720
Q95PX7	Q9VI14
Q9VMQ6	P19516
G5EGQ2	Q9W3J4
Q8SWV4	P08018
Q9VU39	P25332
Q20398	Q9VKG8
P91575	Q9VML8
Q9VWZ2	Q02725
Q9VCB9	Q03768
Q9VZQ8	P38143
Q95QB3	Q9VML1
Q22992	A1Z9L0
P06581	P82147
Q9U308	Q9VPZ7
Q95XW5	Q9W3H7
Q9W3X9	Q95QD9	P38865
Q9GYG4	P47119
Q8MQ20	Q9V877
Q7JWP9	P32336
Q21243	Q9VMD7
Q9W0R0	Q03654
Q9VKR4	P48015
Q9VR59	Q06685
Q22398	Q9VC98
Q9W404	P53878
Q9W4R9	P53960
Q9VHN8	P50264
Q9W3X3	P38332
Q27268	P24784
A1Z8W8	P11075
Q9VUI8	P35184
Q21827	Q9VUA0
Q9V3D2	P11353
Q7KVQ0	P28007
Q9VV41	P36132
G5EEA1	P28167
G5EDW8	Q9VP68
Q9TXH9	P38349
Q9U357	Q86BE9
Q10902	P16375
Q8IN02	P32469
O02273	Q9W4F9
Q9VLP7	P41833
Q9VC63	P14772
Q7KT11	Q02961
Q9W0S9	Q12275
A1ZBE8	Q03921
Q9N457	Q2PE14
Q9BHM0	P49762-2
Q7KSC4	P53157
P48150	P06367
Q86BS6-3	Q08641
G5EBY5	Q9I7S4
Q7KKI0	P42943
Q9VY76	P40361
O01916	Q8MZC4
P18431	Q03957
O01802	P40693
O17761	Q9VXI1
Q6AHQ8	Q9VDI1
G5EBM1	Q8IRY7-4
Q22329	Q9VWV9
Q09409	Q9VYS4
Q9VKC8	P07213
