Q9VUR1	Q92759
Q9U3A6	O75553
O77275	Q9HCL3
Q7KK54	Q13214
Q9VI60	Q9NPA8
Q9Y138	Q8TDN4
O61464	Q9UHD4
Q9VPM9	Q9NVV5
Q4LBB9	Q99680
P47949	P14649
Q9W1B0	Q5VT25
Q09631	Q14938
Q9W1T1	Q6P5R6
Q7JQN4	Q59E92
B7ZNY0	P0C2Y1
P24893	A0S183
Q9VEN9	Q86TB9
Q9VM71	Q8IZH2
Q8SYL1	Q6QEF8
Q9VMC3	O43916
Q9VXT5	Q69YN2
Q8MZ65	Q08623
Q8BFZ4	Q9UKT7
Q9VWR5	Q9NYL5
Q9VPJ0	Q96HD1
Q7KW14	Q5T5P2
Q9W3X2	O75541
P53994	Q13637
Q9VDD7	Q8TB61
Q18299	P08235
O18210	P43004
Q9VB64	O95848
Q9VL27	P06280
Q9QUN9	Q9UK85
Q9VG04	Q9Y316
Q7JXF7	Q9Y2B0
Q8C0E5	O43734
Q9VD51	Q9NR30
Q9VLV6	Q9C0H6
Q9VD01	B2R894
P27398	O15484
O46100	Q9UP95
Q9VZK8	Q04828
Q07813	Q07812
Q2EMV9	Q9NR21
Q9VRT2	P08709
Q7K4M9	Q8IZ07
Q9VVW7	Q8N129
Q95RT1	P31939
Q9VM59	Q8IYH5
Q9V3Q4	Q06830
Q9V3L0	P62952
Q8R2Q8	Q10589
H2KZ29	O60318
Q9VIK5	Q9BY78
Q9W4S2	Q9NX47
Q9VM04	Q96N67
P34340	Q96A84
A1Z6H7	Q8TEM1
Q9VEC2	Q969U7
P20232	Q86VL0
Q9W394	Q9ULW3
Q9V3F9	O15427
Q9VY98	Q96PX1
Q8WSF3	P07686
Q9W462	Q9UPU5
Q4V6H2	P22352
Q24157	Q9C0J1
Q9VMR0	Q9BVV7
Q9VN97	O60830
P17095	Q5T6U8
Q9U1M2	A0PK00
Q9VM69	F1T0A5
Q9NHX7	P28072
Q9W5G1	Q96QU8
Q9VTR4	O45599
Q8MZE0	Q02108
B7Z031	P16671
Q9VMQ5	Q9Y2Z9
Q9VSS7	Q9BZE7
Q9VA83	Q9BXU8
Q9VIP9	Q15003
Q24025	Q9H2X0
Q9VMX7	P48740
Q9NDJ2	Q9H4L7
Q9VSP0	Q3B7T1
P25167	Q9H6S8
Q9VL89	Q9UQ80
Q8SXD4	Q504T8
O76554	Q07001
Q9V4E6	P61812
Q9W3Y0	O00488
Q7JUZ6	Q8N4W6
O88513	O75496
Q9VV89	P61923
Q9VBF9	P49593
O17311	P49721
Q18476	Q9UIA9
A1ZAX6	Q9NQG7
Q29QQ9	Q15024
Q09227	Q9BV19
Q5BIL9	Q5FYB1
Q9CZA6	Q9NXR1
G2HK15	P05549
Q8BSY0	Q12797
Q9W429	P78383
Q9VBY2	Q9H9Y2
Q9N4L9	A4PIV9
P19889	Q9UKD2
Q9VSK1	P19883
Q17693	P42898
Q9VRV3	Q9Y2K1
Q9VTB4	Q16718
A1ZA22	Q9NR50
P36951	Q5T013
Q9VAY3	O43808
P05125	P01160
Q9VCY8	Q86WK9
A1Z7Q5	Q86WG5
Q9VFC2	Q9UK55
Q9W2U6	Q92664
P90925	P18459	P00439
Q9VU41	O75800
G5EFF4	Q969J2	Q9VHM4
O76912	Q9H1I8
Q9W478	P16870
Q961T2	Q9UJT9
Q5U176	Q8N4D0
Q9VPE2	Q16795
Q9NFZ3	Q9P2W3
Q9V460	O00267
Q0KIB0	Q14982
Q9VWK5	Q9GZR1
Q7KTV4	Q53GT1
A2AIX1	E9PK14
P48150	P62263
Q9VSA4	Q8N8A2
Q9VRZ7	Q9NVA1
Q9VWC4	Q21367
Q8MSP7	Q9NR80
O45451	O60760
Q7K4G8	Q96BR6
Q9V3H9	Q6PJT7
Q8MLX1	Q08E86
Q9VNI9	Q12981
Q9VI54	P16383
Q9VI63	Q92613
Q24134	Q8IXH7
Q02870	P19447
Q8CDG3	Q96JH7
P47208	P49368
P97762	A0A024RA76
O76896	Q969X5
Q9VES1	Q15041
Q09101	P08603
Q9W1L8	Q6IMI6
Q9U2M8	Q5T0F9
Q7JXG9	Q7L5A3
Q9W4C3	Q8NFA0
Q9VJ34	Q8NEC7
Q9XWH3	Q9NY26
O44772	Q5HYJ3
Q9GSZ5	Q6ZN30
Q9VTL1	Q5JVF3
Q8VCF0	Q7Z434
Q9VZ27	Q6IAV4
A1Z8D2	Q9NYQ3
Q9W3H0	P98164
Q3URK3	O43151
A1ZA92	Q5SY16
Q8INR0	J3KNW4
Q9VD02	Q96DV4
Q8SXX5	Q969S6
Q8MRW1	O14925
P19437	P11836
Q9VYA5	P49917
P21914	P21912
Q9VXL5	Q9BYV9
P01887	P06340
A1Z8S4	Q53F39
Q9XWM0	Q96K19
Q9VHP3	Q01085
P15215	P55268
Q7JR49	Q15904
Q80U04	O43164
Q9V3C5	Q09417
Q9VP84	Q9BSD7
Q9W0U6	Q8NBJ7
Q9WTQ5	Q02952
Q22123	Q9H1A3
Q9V431	Q9BZZ5
A1Z8C0	Q96AY2
Q9W5E2	Q8WUU5
Q9BI89	Q7L1V2
A1ZB86	Q9Y5Z7
Q99K90	Q8N5C8
Q9VD72	Q96H20
Q9V9S3	Q92600
Q9VAC8	Q6UVJ0
Q9W3Y4	Q86XJ1
Q9VUH9	Q9HCE1
Q26454	Q14566
Q8WR53	O95758
Q7KQZ4	P52739
Q9VB75	Q92536
A1Z9F0	O95544
Q9VPX5	Q9UBQ0
