Q8BRM8	Q9ULW5
Q9R0D8	Q9H977
E9PXF0	O14917
Q6P6T6	Q8C243
Q9WVP1	Q9Y6Q2
D3ZY96	O08692
Q64288	P47874
Q9CYC6	Q8IU60
P22935	P29373
P83882	P83881
A2AWF2	Q5SXM1
Q8BMZ5	Q9BSV6
Q9ERR2	Q8R395
P63300	P63302
P03903	P03901
Q0P547	Q3KNW7
Q8C7U1	O15049
P04212	P01602
A0A140LIP2	Q008S8
Q9CQ75	O43678
Q9CQN6	Q9NUH8
Q9D281	Q8IWE2
Q9ERF9	Q9ERF8
H9KUZ3	Q9UQ74
A0A0G2K0Y1	Q80ZI1
Q8K3E5	A1Z199
Q8R5H8	Q9NVQ4
P01635	Q6PIQ7
Q8C5L2	A8MTJ3
Q922Q1	Q969Z3
P17950	Q9BTL4
A1L0T3	Q8WTU2
Q8BLU2	Q96G04
O15496	G3V6E2	Q9QXX3
Q3TMM5	P0DMR1
D3ZKQ0	Q9NV35
Q8K4L6	Q9NQ76
P04797	P16858
Q8C4B4	A6NIH7
Q31184	Q30143
Q80X45	Q9NRX6
A0A0R4J0U7	Q9GZQ3
O08602	Q5VY80
D4A671	Q505B8
Q62673	B4E083
P05710	P26955	Q01344
Q00657	Q80T14	Q86XX4
D4A1V0	E9Q492	Q96JS3
P26641	Q68FR6	Q64471
Q8BGM4	Q8N6F8
Q7TN03	P04222
Q63638	Q9JIF9	Q9UBF9
Q9CQS9	Q9NVX0
D3Z9Z2	Q9D009
P01636	Q9UKI3
Q8CEK7	Q969F0
F1LPQ9	F7AA26	Q9Y2D5
Q58NB6	Q9BPW9
Q9Z2C8	Q59EB5
Q6PE15	Q9NUJ1
Q8BVP2	Q6ZMR3
Q9UQP3	D3ZK14	Q80Z71
G5E893	Q6UB98
Q71LX6	Q6NXK7
P10751	A8MXY4
Q9CZ01	Q86WZ6
D3ZCK1	Q8BRM6
P97799	Q8IZ57
Q66X93	P61407	Q9Y2W6
Q9QZV8	Q9WUS8
P02088	P02042
O43586	Q9QY17	P97814
Q66H45	Q68FG8
Q3U435	Q9NPA2
Q9JI83	Q9HBJ0
Q6DFW5	Q9Y2G3
Q9CR76	Q96B77
Q61116	A8K8Y5
D3ZCH6	O00584
Q9D4J7	Q8IWS0
D4A009	P59894
A0A0A6YXI5	P20930
A0A0A0MY16	Q8BLQ9	Q8N3J6
Q3U4M6	Q6ZRS2
P97393	P52757
Q2MV57	Q96GX1
Q9DBF7	G3V6I3	Q9NXE8
Q31621	P01909
Q62520	Q96T25
E9QA35	Q5VYP0
D3ZQ63	Q8BMK1
B2GUZ7	A0A0R4J0M1	Q15814
Q9H9A7	D3ZHX4	Q9D4G9
Q8R0F7	P19224
O35698	Q6IAM0
Q9CX30	Q5BJH7
F1MAM7	Q99KA4	Q6PYX1
A0A0U1RP63	Q9Z0H5	O76036
P35385	B5DFG4	Q9UBY9
Q64475	O60814
Q924S5	Q9WTM5	Q9Y265
Q8BSE0	Q96LZ7
Q9WU42	D3ZXN9	P27816
R9PXX2	Q3V089
Q4VAA2	Q9UKY7
Q62667	D3Z2N7
D4ADQ4	P70278
Q5XG73	Q5T8D3
O08696	P98177
G3V6Z9	Q99551
Q5XIB3	Q8BGK2
P61166	P61165
O00204	Q29YR5	O35400
Q8R322	Q14203
P56603	Q8K021	O15126
Q8R3I2	Q6ZWT7
A2A935	A0A096MJ70	Q9HAZ2
P53810	P16446	Q00169
Q5U2M6	Q8N7N5
Q10738	Q9ULZ9
Q9BPX3	D3ZD72	E9PWG6
G3V7E0	O09113
Q80VK6	Q9NXL2
Q8BWW4	Q6PKG0
Q9D1L0	Q9Y6H1
Q62160	Q99819
Q08857	P16671
D3ZN38	Q9EPQ7
Q9QXA5	Q7Z5A3
Q61083	P41279
D3ZY42	Q3TVW5	Q9BT92
Q76IJ9	Q60900	P11940
Q920D5	P51878
F1M6T7	Q8K0S2	Q6P6B1
Q64511	Q14TE9	Q02880
F1M695	F6W8I0
Q9JJ31	Q9D5V5
P0DMN7	P17707
A0A0G2K0B4	Q8C863	Q96J02
Q80TK0	Q9UPP5
Q8K183	O00764
Q642G4	Q9R0A0	O75381
D4AC85	A0A0R4J0G6	Q16769
Q562C0	O00192
D3ZKY9	Q8NHS9
F1LMB5	Q9NVR5
Q61327	P23977	P23975
Q8CGR4	P07478
Q6ZMV9	E9PSL8	E9PX57
Q3TYA6	Q99549
F1LN76	Q8NDM7
B0BMV4	Q91XB7	O95070
Q9CQ86	Q9BRT3
R9PXW3	Q8VEM9	Q6PID8
P11157	P31350
Q91VM5	Q15415
Q3TFD2	Q8NF37
Q86WZ0	D3ZSB9	E9Q357
Q5XI39	Q921W4	O95825
Q91V27	O54880	Q8NFW9
Q6P8W9	Q8WW32
Q8BMD2	Q86YF9
Q5XFZ0	Q4V7D8	Q32NC0
A0A1X9RU27	D4A7G2	Q9WVH3
Q99N90	Q9P0J6
D4A9W8	A0A0R4J0A8	O95243
Q63630	Q3UJH4
D3ZX52	Q8CBY3	Q96PV6
Q922K7	Q8N9J2
O19442	P30455
Q9Z2L6	Q9UNW1
D3ZGW9	Q99445
