P38996	Q94901
P25374	Q9VKD3
P06582	P05812
P53312	P53588
O45436	P16375
P38757	Q9W4V8
P08518	P08266
Q9GYI4	Q9VJ97
P49956	P34429
Q12311	Q6AWG9
P04912	P08985
P20459	P41374
Q967F4	Q24298
P23644	Q18090
P53010	Q10124
Q10579	Q04652
P34766	O18381
P43605	Q9VS50
P50105	P47825
Q12189	P41994
P41901	P54359
P53141	P54357
P49167	Q9W5N2
Q02197	Q9W1A2
P35180	Q19766
P25389	Q24592
P38249	P34339
P25381	Q9V6K1
Q9NAH2	Q24432
P02294	P02283
P38930	Q24536
O44960	Q9W539
P53086	Q960Z0
P07170	Q9U915
P00331	P46415
P04786	P30189
P14747	P48462
P47043	Q7KHG2
P53942	Q9VPP5
P22224	Q18286
P26343	P52168
P28007	Q7KVQ0
P32838	P48456
P53040	P49847
Q05027	Q27272
P09624	P91938
P53309	Q9VI75
P29478	P49963
Q99216	Q9VR89
P38082	Q9VDZ3
Q06245	Q9XTM1
P38333	P51406
P52917	O17071
P07560	P40792
Q02785	Q00748
Q05471	O76460
Q9TW45	Q27324
P25567	P40796
Q9U357	Q86BE9
P32805	Q8T053
P34218	O02193
P40070	O44437
P39938	P13008
P49954	O76463
P39677	P08736
Q03940	Q9VH07
P04147	P48809
Q23402	Q9VFR0
Q12200	P18502
P0C0T4	P48588
P53806	Q9XZL8
P32473	O44451
P25583	Q9VLP7
P38077	O01666
P40310	Q03720
P42945	Q9VM75
P38741	Q08473
Q03761	P49905
Q08096	O77264
P21801	P21914
P53318	Q9VMQ5
P53687	Q9VK34
P33749	Q8IRH5
Q9VSR3	Q03571
P47142	Q7JXV9
P36018	Q9VUN3
P53091	Q9V461
P32833	Q24168
P53295	Q9V411
P38297	Q7YU24
Q03563	P54367
O17645	Q86BJ3
Q04120	Q9V3P0
P32343	Q4Z8K6
P53333	Q9W020
P32347	Q9V595
Q04067	P17133
P11914	P98080
P91430	Q9VLJ8	P38820
P04051	P04052
P34371	P42282
P36105	P55841
Q08920	Q02427
Q07418	P34453
P20967	Q9VA02
Q09232	Q9U6B8
P39078	P47207
P80210	Q9Y0Y2
Q17328	P17644
P34222	O97067
P53043	Q27889
P13508	P24014	P39010
Q12749	Q09591
P32910	Q9VD25
P40580	Q9VLU5
P38796	Q9BIB3
Q22544	Q24523
Q20363	P02515
Q03921	A1ZBE8
Q12466	Q9VVI3
Q12275	Q9W0S9
P06780	Q8IMX7
P55163	P55162
P41810	P45437
P18494	P52172
P53551	P02255
P0CX15	Q02748
P53035	O77459
P25293	Q18240
Q08562	Q9VDY1
P32614	Q94523
P29496	Q26454
P32599	Q9VDW6
P06776	P12252
P40561	Q9V535
Q12509	P02572
Q12099	Q8T8R1	P34689
P40047	P46562
P34160	Q7K4N3
Q12532	Q9VBX1
P22204	P49657
Q9XXK1	P35381	P17255
P36160	Q9VEB3
P36120	Q9W3Y5
O01901	Q9VLT8
P53238	Q9VT65
P32829	Q23255
O17927	P33244
Q12000	Q7JWR9
P32383	P25455
Q10658	Q9VLJ0
P40579	Q9VXJ0
Q12132	P07247
P53313	Q7KKH3
Q9VGW6	P34647	P24279
P11745	Q9VIW3
P24869	Q9I7I0
P25042	P91943
P53215	Q9V3N8
Q01939	Q94392
O17915	P40793	P01120
Q03565	Q9VLU0
P48156	Q8MLY8
P17106	O61734	O02219
P48363	Q9VGP6
P40015	Q9VZS6
P39946	Q7K0Y1
P50464	A1Z6W3	Q06407
P15436	P26019
Q02948	Q9VCE1
Q03530	Q9U1H8
P31787	P42281
Q00539	P19018
Q07938	Q9V813
P19812	P91133
P38714	Q9VXN4	Q19825
Q22258	Q70PP2	P22543
P40453	Q9VYQ8
Q9VEK6	O61967
P38191	Q9W2X7
P38879	Q86S66
P56628	P50887
G5EGD2	O61735
P47037	Q20060
O18017	P23128	P10081
P27636	P18475
P46964	P52872
Q12186	Q17339
P07274	P25843
P22203	P54611
P53968	P07664
P34696	P22979
P25654	A1Z9A2
P41819	Q9VAQ5
Q02961	O46036
O76932	P34430	P32945
P22023	Q09332
Q966M5	Q9XZT1
Q07530	P00334
P43563	Q8IQG1
Q12377	Q94899	Q20585
P21182	O02655
Q00362	P36872
P09368	Q04499
P53255	Q9VXT5
Q02336	Q7KSD8
Q02330	P42003
P39943	Q8ST83
Q08204	P48996
P40555	Q10920
Q3E7X9	Q9W334
P05626	Q94516
P06700	Q9VH08
Q8MYM9	Q9W549
P00445	P34697
P09547	Q9VMJ7
P15938	Q09530
P32481	P45975
P53303	O16999
Q9GYS1	Q9V3J8	P38123
P38748	Q95SP2
Q00453	Q7K0S9
P40094	Q961G1
P13434	Q9VJQ5
Q8IRW8	Q22795
Q6BER6	Q9W5P1	P47822
Q03177	Q9VKQ3
P22138	P25167
P39956	P42283
Q965X6	Q8T3Y0
