hu15064	mo15639
hu6353	mo13181
hu12257	mo11744
hu1042	mo17134
rt9114	hu1148
hu4369	mo206
hu4859	mo16518
hu8953	mo13733
hu463	mo14034
hu16496	mo13734
mo15993	rt10014	hu9708
hu6118	mo5480
hu3577	mo5733
rt14812	hu15235
hu6912	mo5825
hu12023	mo6136
hu17469	mo15666
hu13461	mo13485
hu16644	mo16426
hu5581	mo15704
rt10187	hu8137
rt8500	hu12677
hu14344	mo14570
hu11964	mo9852
hu11032	mo5078
hu458	mo5552
hu3996	mo2874
hu12836	mo13767
rt14351	mo16282
mo5728	rt1631	hu461
rt698	hu7772
hu2382	mo1860
hu10550	rt1489	mo11761
mo3505	rt4811	hu4165
hu225	mo2139
hu14491	mo12535
hu230	mo3455
hu2249	mo4117
mo3095	rt4446	hu1077
hu17552	mo13502
mo2213	rt10389	hu5805
rt14110	mo17207
hu16793	mo13858
rt5975	mo8417
hu247	mo680
hu14254	mo8957
hu17641	mo15585
hu7304	mo14934
hu14008	rt8044	mo5920
hu6575	rt10656	mo16296
mo14400	rt14709	hu16393
rt9645	hu13103	mo12877
rt15013	mo14367
rt6986	mo16151
rt3662	mo1168	hu492
rt71	hu6626
hu14732	mo14537
rt13037	mo14051
hu4291	mo15571
hu8718	mo15920
rt15725	mo12246
rt2383	hu13084
hu9516	rt5120
hu8164	mo7357
hu11741	mo10980
hu17710	mo16078
hu11622	mo13041
rt6705	hu16646
hu8390	mo13422
rt15263	mo15029
mo1074	rt4158	hu5959
rt15282	hu6720	mo8676
hu1050	mo7413
hu14913	mo13575
rt12462	mo1338
hu688	mo7378
rt4049	mo9548
hu8870	rt12998	mo15147
rt9712	hu17312
hu8991	rt14437	mo16129
rt13230	mo13433
rt3900	hu9074
rt14149	hu8897	mo15927
hu14060	mo9510
hu9398	mo1435
rt7552	hu9120	mo8108
hu13125	mo16890
hu10047	mo17023
mo6723	hu11455	rt11390
hu4198	mo17236
rt6427	hu13064	mo2875
rt7045	mo1388
hu8210	mo7831
hu5635	rt839	mo13230
mo1361	rt3802	hu16741
rt15591	hu16798	mo6712
hu15128	mo5183
hu6939	mo8067
rt3259	mo12131
hu15678	mo11350
hu8944	mo13342
hu10365	mo10273
hu10370	mo13616
mo8049	hu16704	rt13879
hu14357	mo14359
hu12021	rt6038
hu13829	mo7547
mo2131	hu3628	rt153
hu940	mo13243
hu2615	mo1574
hu16488	mo11903
hu9606	mo9831
hu180	mo11101
hu3604	mo2387
hu2064	mo15230
hu1740	rt8492	mo10738
hu15091	rt1233	mo6499
rt2645	hu5051	mo3103
hu16020	mo16795
hu11994	mo7182
rt10822	mo8970
rt9651	mo13367
rt9923	mo14756
hu15584	mo7609
rt8489	hu420
rt15108	mo16035
hu380	rt5452
rt6016	hu14962	mo10180
hu15734	mo16895
hu7374	rt10746	mo17060
rt3273	mo17209
hu5009	mo10650
rt13088	mo16096
hu12402	mo14038
hu3492	mo10627
hu10379	mo16824
hu1546	mo5264	rt8117
rt10274	mo16828
hu13516	mo7550
hu15007	mo16083
mo12023	rt14448	hu7965
hu4972	mo10086
hu8429	mo445
mo12079	hu10793	rt12374
rt8337	hu13372
hu4401	mo109
hu16023	rt12863
hu15690	mo16787
hu13509	mo1949
mo5385	rt12787	hu1687
rt11534	hu10812
rt9365	mo10691
rt13752	mo15532
hu1894	mo11534
mo15368	rt15068	hu16436
mo2487	rt7735	hu4370
hu5539	mo14526
hu7534	rt6693	mo1239
mo14598	rt1434	hu15447
rt5322	mo15995
mo12520	rt9955	hu961
rt14519	mo16264
rt13500	mo12281
mo17408	hu13168
hu15114	mo16786
rt14670	mo6830
hu15638	mo10226
hu7702	mo15373
hu14319	rt8779	mo15546
rt6156	mo12152
hu14405	mo12847
hu3170	mo2044
rt11624	hu15137	mo12055
hu8238	mo7115
hu2115	mo15125
