Q86BS6-3	Q08641
Q9Y5N6	Q9Y1B2
Q9H8N7	Q9VH51
Q9Y6A2	Q9VS78
Q9Y3D2	P25566
Q9NXH9	P15565
Q9NZM4	Q9VAP9
P02787	A1ZAC0
O95447	Q9VVD0
Q96FA6	Q9N583
Q96EK4	Q9JJD0
Q6FIE5	P20348
Q9NSB8	O96607
Q99574	Q0E8C8
Q9UK99	Q9VNC0
Q8IZN1	Q9VR61
Q7LC44	Q9WV31
Q8IWZ6	Q9XW70
Q9P243	Q9VXG1
Q96AB6	Q8MSD1
Q8T0V6	O45599
Q9BXY0	P10962
Q01638	P13504
P98066	G4LU05
O95450	Q9VKV3
O14990	Q9VJE7
Q96BR5	Q9W5N0
Q70E73	Q9VWB7
O43818	Q06506
P30533	Q9VH64
P42695	Q95Y84
P32927	P26955
Q9BU61	Q9W1H9
Q8N9N2	Q7JW66
O60925	Q9VMH8
Q9BQG2	P53164
P08684	Q9V3S0
P50226	A1Z9J8
P46459	Q9NAG4
P43005	O18210
Q9XW93	Q12383
Q15063	P10674
Q8WVD5	Q20737
O43593	Q9VHC5
Q9NQ50	Q9VGP7
Q96SQ9	Q9VVR9
P00734	Q9V3Z2
P28845	Q9VIG6
P40261	Q20308
Q7Z4H7	Q9VAP2
P55001	Q9QZJ6
Q9UMD9	Q18302
B1AH49	G5ECA0
Q9Y4E1	Q6PGL7
Q5T013	P36951
Q9H7Z7	Q9V420
B2R894	Q9VD01
Q6ZMK1	Q9VZV5
Q8WUW1	Q91VR8
Q8N608	Q9VMM2
Q96MV8	Q9VQK9
O43255	Q9W4W4
Q96MF7	Q9VVH7
Q63ZY3	Q8WS23
Q3SX64	Q9VLQ4
Q8N0Z6	Q9BKU9
Q16526	Q9R194
Q9U1X9	P05319
Q2L6J1	P15533
O14810	Q8IPM8
Q23090	P41816
Q9NQF3	Q9W043
Q8NCM8	Q8MS83
Q8WW38	Q9VPQ6
S4R322	Q6A078
P18859	Q24407
Q9NPH2	P11986
O14717	Q9VKB3
P51649	Q04458
Q9VBX1	Q12532
Q9Y3L3	A1ZAW3
Q9VYF8	P49017
Q92959	Q9VVH9
Q9VDK6	P31115
O43292	P39012
Q9BTV4	Q9VSB9
Q8N1E6	Q7K0V7
Q8MSU2	H2L041
Q8NBJ7	Q9W0U6
Q9VH09	P49095
Q9GZN7	Q9VVE2
P23588	Q9VA45
Q6ZRQ5	O46089
Q5THT1	Q86B87
Q6P9A3	Q9U1J8
Q9H1B5	Q9EPL0
Q8NFW9	Q91V27
Q8WV37	P07664
P82673	Q9VZX6
Q9H9A6	Q9VS84
Q9UJW3	Q9CWR8
Q08623	Q9VQ02
Q9Y6N8	Q9VVG0
P02765	P29699
Q16769	Q86PD7
Q9UBK9	Q9VJP9
Q13769	C2BR94
Q9VI08	Q06252
P35269	Q05913
Q03169	Q9V8K2
Q8IYB1	Q9U3W6
Q9BZZ5	Q9V431
Q13136	Q9VU88
Q53YD7	P36008
P40926	P22133
O60427	Q23221
Q9UPN3	Q9W205
Q8TEQ6	Q86BY9
Q9NXK8	Q8T0K1
Q9BR76	Q7JVY0
Q9UID6	Q9W3T3
Q14055	Q18799
P35659	A1ZAK3
Q9H490	P41733
P15108	P07900	Q9VAY2
Q8N490	Q9VLS9
Q5JST6	Q9VXP5
P26717	O54709
Q7JWW5	P53088
P49902	Q7K3S2
Q6UVY6	O01404
P30481	P14483
Q9Y530	Q9VP69
Q5W111	Q9VED7
Q96BD6	Q9V6L9
Q96CV8	Q9VC06	P35999
A1XBS5	Q8BP22
Q9H310	Q22947
Q9W334	P0C0X0
Q6PJW8	Q8CBC4
Q9UL52	Q9W3H0
Q6ZYL4	Q9N390
Q9P215	Q19682
Q7L945	Q9VTK6
P00748	Q9VT25
P56937	Q12452
P62952	Q9V3L0
A1Z909	P53972
Q96LD8	Q7JUX2
Q12983	Q9Z2F7
Q08685	E9PL17	P52874
Q9VT04	P50944
Q92854	Q7KK54
P09172	Q9VUY0
Q96FL8	Q05497
P62699	Q9W2X7
Q9NPE2	Q9VBR0
P10588	Q9N4Q7
O75251	Q9VXK7
O96006	Q21374
Q9VZJ8	P53583
Q24173	B7WNB0
Q9UKK9	Q01976
Q9Y698	Q9VRE6
Q13469	Q60591
Q6IQ32	Q3UYC8
Q6NUQ4	Q9VKM7
P19235	P14753
Q969V5	Q9VZJ9
Q9NRM1	Q548P8
Q9BY42	Q9VKR2
Q6UUV9	Q95XA8
P02689	Q20223
A1A5B4	O97132
O15120	Q7KTI0
Q15904	Q7JR49
Q6PCB5	Q9VJ42
Q96E29	Q9VPD5
P48995	Q9VJJ7
Q3T8J9	Q8MS31
Q9W5H8	P43570
P07910	Q9TZI2
Q8N539	Q9VF34
Q9H832	Q9VUR4
P48595	A1Z6R4
O75794	Q05791
P05784	Q14532	Q86DC6
Q8WY91	Q22857
D6W5L6	Q8IMH4
Q9JJ11	Q9Y6A5	Q8IPN1
Q5T4B2	Q18989
Q9NYW8	Q9VHM7
Q15582	Q9VES3
Q16850	P82711
P78329	Q9VVN6
Q9Y3I0	Q9VIW7
Q8WUA4	Q9VU16
Q9ULJ6	Q21970
Q96G03	O45934
Q9UBS4	Q5BIK1
Q8N1B3	Q9W526
Q9BWF2	Q7K2X1
Q96EY5	Q9VWY7
P62857	Q3E7X9
Q99685	P28321
Q3T906	A1Z7S7
Q9UC07	Q24161
Q9NSD5	Q0E961
Q6NUP7	Q8C0Y0
O60502	Q9EQQ9
Q9UIA9	Q18476
